m/z,intensity
1441.784000,1.45800000e+03
1441.784100,1.79200000e+03
1441.784200,5.02500000e+03
1441.784300,3.87100000e+03
1441.784500,3.12300000e+03
1441.785100,3.17100000e+03
1441.785200,3.64300000e+03
1442.036500,2.54420000e+04
1442.036800,1.13830000e+04
1442.036900,1.26230000e+04
1442.037000,2.83480000e+04
1442.037100,1.48870000e+04
1442.037300,1.59260000e+04
1442.037500,1.44570000e+04
1442.037600,1.33170000e+04
1442.037700,2.58690000e+04
1442.037800,1.26230000e+04
1442.037900,1.25660000e+04
1442.038200,4.16030000e+04
1442.038300,1.08550000e+04
1442.038400,3.70330000e+04
1442.038500,4.44650000e+04
1442.038600,1.41230000e+04
1442.038700,8.63700000e+03
1442.039000,9.54100000e+03
1442.039100,3.98660000e+04
1442.039200,3.59250000e+04
1442.039300,1.23550000e+04
1442.039400,1.48400000e+04
1442.039700,2.61270000e+04
1442.039800,2.28370000e+04
1442.040200,1.33980000e+04
1442.041400,1.29680000e+04
1442.164200,2.15800000e+04
1442.288000,2.05950000e+04
1442.288200,1.57990000e+04
1442.291200,1.58370000e+04
1442.291400,1.89900000e+04
1442.291500,1.57050000e+04
1442.291900,2.30350000e+04
1442.292500,1.46060000e+04
1442.292600,2.56080000e+04
1442.292900,1.81300000e+04
1442.293300,2.33800000e+04
1442.293500,2.11460000e+04
1442.293700,3.77000000e+04
1442.293800,4.56800000e+04
1442.293900,4.41510000e+04
1442.294000,4.10570000e+04
1442.294100,2.34810000e+04
1442.294200,2.47620000e+04
1442.294300,6.54030000e+04
1442.294600,1.46360000e+04
1442.294700,4.11890000e+04
1442.294800,4.82400000e+04
1442.294900,3.98540000e+04
1442.295000,2.49160000e+04
1442.295200,4.42670000e+04
1442.295400,2.02760000e+04
1442.295600,5.87180000e+04
1442.296600,1.40500000e+04
1442.296700,2.00290000e+04
1442.296800,2.30960000e+04
1442.300900,1.87050000e+04
1442.302000,1.59930000e+04
1442.447300,2.25290000e+04
1442.542500,1.82550000e+04
1442.543700,1.97090000e+04
1442.544100,1.95740000e+04
1442.544800,2.57770000e+04
1442.545100,2.10470000e+04
1442.545200,2.63100000e+04
1442.546100,1.29290000e+04
1442.546400,1.60140000e+04
1442.546500,1.80040000e+04
1442.546700,3.84100000e+04
1442.547300,1.80300000e+04
1442.547400,2.02060000e+04
1442.547600,1.88340000e+04
1442.547800,2.25990000e+04
1442.548200,2.14460000e+04
1442.548500,1.33280000e+04
1442.548600,8.16410000e+04
1442.548900,1.35180000e+04
1442.549300,2.15120000e+04
1442.549800,3.09330000e+04
1442.549900,1.90930000e+04
1442.550100,2.00010000e+04
1442.550400,2.05220000e+04
1442.550500,2.99920000e+04
