m/z,intensity
1443.824000,4.57600000e+03
1443.824100,1.07400000e+03
1443.824200,9.79000000e+02
1443.824300,5.73800000e+03
1443.824400,1.09500000e+03
1443.824600,1.16500000e+03
1443.824700,3.37400000e+03
1443.824800,1.83800000e+03
1443.824900,1.29700000e+03
1443.825200,2.51700000e+03
1443.825300,1.24800000e+03
1443.825500,2.17200000e+03
1444.075500,1.10430000e+04
1444.076200,1.00080000e+04
1444.076400,1.00750000e+04
1444.076500,1.30410000e+04
1444.076700,1.04960000e+04
1444.076800,1.22260000e+04
1444.077000,1.10390000e+04
1444.077300,1.34250000e+04
1444.077500,8.38200000e+03
1444.077600,9.20100000e+03
1444.077700,1.93740000e+04
1444.077800,1.26190000e+04
1444.077900,1.18800000e+04
1444.078000,9.75000000e+03
1444.078200,1.21890000e+04
1444.078300,2.16760000e+04
1444.078400,2.27220000e+04
1444.078500,1.39010000e+04
1444.078600,2.49120000e+04
1444.078700,1.31180000e+04
1444.078800,1.24360000e+04
1444.079100,2.53320000e+04
1444.079200,2.49890000e+04
1444.079300,2.37170000e+04
1444.079400,9.43600000e+03
1444.079500,1.12560000e+04
1444.079800,2.17940000e+04
1444.080000,1.29400000e+04
1444.080200,1.17780000e+04
1444.080500,7.53500000e+03
1444.080600,1.23940000e+04
1444.080700,1.19600000e+04
1444.081100,9.20600000e+03
1444.326800,1.53930000e+04
1444.329300,1.87930000e+04
1444.329500,1.72750000e+04
1444.329800,1.72810000e+04
1444.330200,1.63380000e+04
1444.330500,1.37700000e+04
1444.330800,1.68120000e+04
1444.331300,3.32870000e+04
1444.331600,1.71490000e+04
1444.331800,1.97390000e+04
1444.332200,1.73330000e+04
1444.332400,1.61060000e+04
1444.332600,1.82230000e+04
1444.332700,1.64360000e+04
1444.332800,1.61380000e+04
1444.333100,1.78650000e+04
1444.333200,2.95980000e+04
1444.333300,4.82540000e+04
1444.333400,2.86450000e+04
1444.333600,3.42220000e+04
1444.333700,1.25490000e+04
1444.334100,1.39790000e+04
1444.334200,1.67170000e+04
1444.334300,1.48660000e+04
1444.334400,1.64070000e+04
1444.334700,1.77670000e+04
1444.335100,1.44750000e+04
1444.335200,1.39010000e+04
1444.335300,1.24060000e+04
1444.335500,1.70800000e+04
1444.335600,1.84720000e+04
1444.335700,1.34090000e+04
1444.335900,2.19530000e+04
1444.336900,1.46710000e+04
1444.337200,1.77520000e+04
1444.345300,1.58010000e+04
1444.348900,1.18800000e+04
1444.577800,1.54090000e+04
1444.578200,1.70480000e+04
1444.581300,1.33760000e+04
1444.581700,8.43300000e+03
1444.582800,1.18520000e+04
1444.583700,1.21520000e+04
1444.583900,1.71200000e+04
1444.584600,1.32370000e+04
1444.585200,1.02420000e+04
1444.585300,1.64790000e+04
1444.585900,1.14390000e+04
1444.586200,1.19660000e+04
1444.586300,7.36300000e+03
1444.587100,1.31650000e+04
1444.587200,1.64520000e+04
1444.587400,1.58020000e+04
1444.587600,1.34560000e+04
1444.587800,2.77870000e+04
1444.587900,1.15870000e+04
1444.588300,1.74950000e+04
1444.588400,1.59750000e+04
1444.588500,1.69070000e+04
1444.588800,1.42220000e+04
1444.589100,1.41150000e+04
1444.589300,1.66280000e+04
1444.589500,1.35120000e+04
1444.589600,1.19160000e+04
1444.589800,1.29380000e+04
1444.590000,1.59270000e+04
1444.590800,1.46590000e+04
1444.591300,1.46040000e+04
1444.591400,1.37180000e+04
1444.591500,1.64340000e+04
1444.591900,2.39110000e+04
1444.592000,1.57400000e+04
1444.592600,1.48850000e+04
1444.593100,1.63570000e+04
1444.596600,1.08670000e+04
1444.597400,1.61400000e+04
1444.598800,8.15200000e+03
1444.599300,8.16900000e+03
1444.841600,1.12880000e+04
1444.843400,9.10800000e+03
1444.844000,9.87300000e+03
1444.844300,9.93300000e+03
1444.845700,4.31400000e+03
1444.848500,9.27700000e+03
1444.852100,1.01360000e+04
1445.260500,5.40600000e+03
1448.894100,8.08500000e+03
1449.147400,1.06850000e+04
1449.147700,8.82500000e+03
1449.148100,3.27300000e+03
1449.148400,9.66200000e+03
1449.151700,1.97380000e+04
1449.152000,9.38300000e+03
1449.152100,9.64600000e+03
1449.154100,9.67300000e+03
1449.156100,8.20700000e+03
1449.160600,8.75300000e+03
1449.405100,4.65300000e+03
1452.934500,1.18850000e+04
1452.935900,9.97700000e+03
1452.936100,4.97000000e+03
1452.936200,8.75200000e+03
1452.940400,4.41000000e+03
1453.185000,4.35000000e+03
1453.188100,6.68100000e+03
1453.189400,5.31600000e+03
1453.189500,9.72200000e+03
1453.189600,1.13390000e+04
1453.189800,2.46300000e+03
1453.190700,7.17300000e+03
1453.191500,3.67600000e+03
1453.191800,1.12850000e+04
1453.191900,1.92000000e+03
1453.193300,5.93700000e+03
1453.193500,3.16300000e+03
1453.193700,1.83440000e+04
1453.193900,6.59200000e+03
1453.194700,5.27300000e+03
1453.195700,5.69200000e+03
1453.198000,4.39100000e+03
1453.442500,9.10800000e+03
1453.442600,4.95400000e+03
1453.444700,5.34200000e+03
1453.445000,2.65400000e+03
1453.445300,9.76000000e+02
1453.445800,2.39700000e+03
1453.447400,8.33000000e+02
1453.449700,2.45900000e+03
1453.696000,9.83000000e+02
1456.968700,4.90000000e+03
1456.969900,4.95300000e+03
1456.973100,8.46700000e+03
1457.217700,4.25000000e+02
1457.217900,4.77000000e+03
1457.224100,1.40200000e+03
1457.226400,1.19250000e+04
1457.226600,7.32900000e+03
1457.469600,2.29500000e+03
1457.475100,2.75500000e+03
1457.478600,2.40600000e+03
1457.480000,7.69000000e+03
1457.720900,4.17000000e+02
1767.233400,2.43300000e+03
1767.537600,2.97800000e+03
1767.541200,1.46600000e+03
1767.541800,3.83900000e+03
1767.542200,5.75800000e+03
1767.546600,1.31100000e+03
1767.546900,7.43800000e+03
1767.853600,4.72700000e+03
1767.855200,1.03600000e+03
1767.856000,1.28300000e+03
1767.859900,5.79400000e+03
1767.860400,1.00800000e+03
2553.212100,1.27000000e+03
2560.438300,9.02000000e+02
2560.451800,2.98900000e+03
2560.453200,4.69700000e+03
2560.508200,1.66500000e+03
2560.508500,5.79500000e+03
2560.522700,9.74000000e+02
2560.580200,1.18400000e+03
2560.631900,1.19200000e+03
2560.634100,1.37500000e+03
2560.655700,8.92000000e+02
2560.686600,1.73000000e+03
2560.686800,5.83300000e+03
2560.702400,2.36800000e+03
2560.706600,7.96800000e+03
2560.715600,2.52000000e+03
2560.718800,4.03400000e+03
2560.740700,7.80000000e+02
2560.745600,9.04000000e+02
2560.750700,2.21800000e+03
