m/z,intensity
2560.856000,1.39000000e+02
2560.858000,1.10100000e+03
2560.912000,1.75100000e+03
2560.938000,3.36000000e+03
2560.944000,1.17000000e+03
2560.952000,1.88400000e+03
2560.990000,5.20000000e+02
2561.002000,1.51900000e+03
2561.020000,1.66600000e+03
2561.036000,2.74200000e+03
2561.070000,5.00000000e+01
2561.080000,9.30000000e+02
2561.084000,1.26500000e+03
2561.122000,4.07600000e+03
2561.130000,8.66000000e+02
2561.132000,1.27200000e+03
2561.232000,1.07900000e+03
2561.296000,8.16000000e+02
2561.400000,3.67800000e+03
2561.402000,4.44000000e+02
2561.412000,8.57000000e+02
2561.520000,1.84200000e+03
2561.702000,9.71000000e+02
2561.720000,2.03000000e+02
2561.762000,2.24900000e+03
2561.864000,1.46800000e+03
2561.904000,9.13000000e+02
2561.910000,4.40000000e+01
2561.950000,1.67700000e+03
2561.962000,3.23800000e+03
2562.072000,2.55000000e+03
2562.134000,1.76500000e+03
2562.162000,2.09000000e+03
2562.174000,9.67000000e+02
2562.240000,1.38700000e+03
2562.244000,1.28900000e+03
2562.536000,1.95100000e+03
2562.726000,4.27000000e+02
